id,name,category,latitude,longitude,line
1793,黒川,和食,35.613138,139.470748,小田急多摩線
1,YRP野比,もつ鍋・ホルモン,35.21257,139.685252,京浜急行久里浜線
2,あざみ野,おでん,35.567957,139.554156,横浜市ブルーライン
3,あざみ野,無国籍料理,35.568782,139.553545,東急田園都市線
4,いずみ中央,懐石料理・精進料理,35.415099,139.487183,相模鉄道いずみ野線
5,いずみ野,牛丼・定食・丼もの,35.429491,139.495122,相模鉄道いずみ野線
6,おゆみ野,沖縄料理,35.550016,140.16634,京成千原線
7,お台場海浜公園,寿司,35.629806,139.77853,新交通ゆりかもめ
8,お花茶屋,うなぎ,35.747615,139.839886,京成本線
9,かしわ台,うなぎ,35.466849,139.415885,相模鉄道本線
10,くぬぎ山,ラーメン,35.782334,139.975674,新京成電鉄線
11,こどもの国,すき焼き,35.557997,139.486661,東急こどもの国線
12,さいたま新都心,焼肉,35.893596,139.633899,JR京浜東北線/JR宇都宮線/JR高崎線
13,さがみ野,鶏料理・焼き鳥,35.471508,139.428695,相模鉄道本線
14,すずかけ台,ハンバーガー,35.5171,139.481748,東急田園都市線
15,せんげん台,ハンバーガー,35.935957,139.774593,東武伊勢崎線
16,たまプラーザ,ラーメン,35.577407,139.558653,東急田園都市線
17,ちはら台,スイーツ,35.53369,140.170122,京成千原線
18,つきのわ,日本料理,36.043515,139.345566,東武東上本線
19,つきみ野,牛丼・定食・丼もの,35.510519,139.458552,東急田園都市線
20,つくし野,ラーメン,35.527063,139.484938,東急田園都市線
21,つつじヶ丘,スイーツ,35.657998,139.575189,京王線
22,ときわ台,懐石料理・精進料理,35.758902,139.688764,東武東上本線
23,はるひ野,ハンバーガー,35.618409,139.464979,小田急多摩線
24,ひばりヶ丘,寿司,35.751436,139.545761,西武池袋線
25,ひろせ野鳥の森,甘味処,36.146164,139.351867,秩父本線
26,ふじみ野,おでん,35.860747,139.523091,東武東上本線
27,みずほ台,和食,35.838202,139.550786,東武東上本線
28,みつわ台,ラーメン,35.638729,140.134892,千葉都市モノレール2号線
29,みどり台,ラーメン,35.625294,140.097321,京成千葉線
30,みなとみらい,その他エスニック,35.457677,139.632458,横浜みなとみらい線
31,みのり台,フレンチ,35.789344,139.928784,新京成電鉄線
32,めじろ台,無国籍料理,35.643642,139.308513,京王高尾線
33,ゆめが丘,その他エスニック,35.405645,139.482362,相模鉄道いずみ野線
34,スポーツセンター,パスタ・ピザ,35.643339,140.116246,千葉都市モノレール2号線
35,センター北,甘味処,35.553206,139.578217,グリーンライン/横浜市ブルーライン
36,センター南,魚介・海鮮・ふぐ・すっぽん,35.545168,139.574214,グリーンライン/横浜市ブルーライン
37,テレコムセンター,韓国料理,35.617725,139.779665,新交通ゆりかもめ
38,ベイサイド・ステーション,もつ鍋・ホルモン,35.627855,139.876344,ディズニーリゾートライン
39,モノレール浜松町,パスタ・ピザ,35.655746,139.75667,東京モノレール羽田線
40,ユーカリが丘,洋食,35.72183,140.156385,京成本線
41,ユーカリが丘,しゃぶしゃぶ,35.722309,140.15698,山万ユーカリが丘線
42,リゾートゲートウェイ・ステーション,焼肉,35.635106,139.884951,ディズニーリゾートライン
43,一ノ割,イタリアン,35.964874,139.766042,東武伊勢崎線
44,一之江,スペイン料理,35.685941,139.882892,都営新宿線
45,一本松,洋食,35.940216,139.370082,東武越生線
46,一橋学園,中華料理・飲茶・点心・餃子,35.722102,139.480062,西武多摩湖線
47,七光台,中華料理・飲茶・点心・餃子,35.970852,139.852948,東武野田線
48,七里,カレー,35.936491,139.66601,東武野田線
49,七里ヶ浜,かに・えび,35.306288,139.510042,江ノ島電鉄線
50,万願寺,スペイン料理,35.671315,139.41986,多摩モノレール
51,三ツ境,しゃぶしゃぶ,35.467785,139.50257,相模鉄道本線
52,三ツ沢上町,牛丼・定食・丼もの,35.47642,139.605529,横浜市ブルーライン
53,三ツ沢下町,洋食,35.476488,139.615216,横浜市ブルーライン
54,三ノ輪,すき焼き,35.729285,139.791164,東京メトロ日比谷線
55,三ノ輪橋,無国籍料理,35.73222,139.791504,都電荒川線
56,三咲,懐石料理・精進料理,35.749181,140.02854,新京成電鉄線
57,三峰口,とんかつ,35.960175,138.977731,秩父本線
58,三崎口,パスタ・ピザ,35.178217,139.633359,京浜急行久里浜線
59,三河島,スイーツ,35.733352,139.777285,JR常磐線快速
60,三浦海岸,牛丼・定食・丼もの,35.188283,139.653374,京浜急行久里浜線
61,三田,そば・うどん,35.647841,139.749343,都営浅草線
62,三田,魚介・海鮮・ふぐ・すっぽん,35.647877,139.748781,都営三田線
63,三越前,すき焼き,35.684864,139.773438,東京メトロ半蔵門線
64,三越前,焼肉,35.687153,139.773594,東京メトロ銀座線
65,三軒茶屋,焼肉,35.643342,139.671159,東急田園都市線
66,三軒茶屋,焼肉,35.644106,139.669186,東急世田谷線
67,三郷,スペイン料理,35.844834,139.886835,JR武蔵野線
68,三郷中央,お好み焼き・もんじゃ焼き,35.824484,139.878371,つくばエクスプレス線
69,三門,もつ鍋・ホルモン,35.282919,140.391446,JR外房線
70,三鷹,韓国料理,35.702693,139.560709,JR中央線/JR総武線
71,三鷹台,懐石料理・精進料理,35.692051,139.589296,京王井の頭線
72,上中里,もつ鍋・ホルモン,35.746888,139.746285,JR京浜東北線
73,上井草,牛丼・定食・丼もの,35.725254,139.602953,西武新宿線
74,上北台,その他エスニック,35.745762,139.415864,多摩モノレール
75,上北沢,かに・えび,35.668841,139.623412,京王線
76,上大井,うなぎ,35.321789,139.163627,JR御殿場線
