from_id,to_id,cost,line
1,214,3,京浜急行久里浜線
1,222,2,京浜急行久里浜線
10,289,18,徒歩
10,289,2,新京成電鉄線
10,350,3,新京成電鉄線
10,565,17,徒歩
100,1537,18,いすみ鉄道
100,857,12,いすみ鉄道
1001,1108,1,東武越生線
1001,1108,16,徒歩
1001,1111,2,東武越生線
1001,1137,18,徒歩
1002,1003,4,徒歩
1002,1164,16,徒歩
1002,1165,18,徒歩
1002,1166,20,徒歩
1002,1167,18,徒歩
1002,1168,19,徒歩
1002,1635,5,徒歩
1002,1683,15,徒歩
1002,1759,14,徒歩
1003,1164,19,徒歩
1003,1591,19,徒歩
1003,1635,3,都電荒川線
1003,1635,7,徒歩
1003,1683,16,徒歩
1003,1759,15,徒歩
1006,1379,12,小田急小田原線
1006,1777,3,小田急小田原線
1007,1214,16,徒歩
1007,1453,12,徒歩
1007,1454,11,徒歩
1007,1573,11,東葉高速鉄道
1007,1705,23,東葉高速鉄道
1008,1099,7,JR久留里線
1009,1010,14,徒歩
1009,1315,14,徒歩
1009,1315,2,東急東横線
1009,1362,20,徒歩
101,717,4,JR久留里線
1010,1071,5,JR京浜東北線
1010,1094,5,JR京浜東北線
1010,1361,19,徒歩
1010,1362,16,徒歩
1011,1371,17,徒歩
1011,1413,7,JR八高線
1012,1255,5,JR五日市線
1012,1373,5,JR五日市線
1014,1183,4,JR総武線
1014,1453,4,JR総武線
1016,1110,14,秩父本線
1016,1522,20,徒歩
1016,1522,5,秩父本線
1017,1294,4,JR横須賀線
1017,1624,3,JR横須賀線
1018,1149,8,JR東金線
1018,1369,6,JR東金線
1019,1020,1,徒歩
1019,1151,20,徒歩
1019,1152,15,徒歩
1019,1416,10,徒歩
1019,1417,10,徒歩
1019,1650,6,徒歩
1019,1651,9,徒歩
1019,1652,11,徒歩
1019,1653,12,徒歩
102,1008,4,JR久留里線
102,1354,3,JR久留里線
1020,1151,20,徒歩
1020,1152,15,徒歩
1020,1416,11,徒歩
1020,1417,11,徒歩
1020,1650,6,徒歩
1020,1651,8,徒歩
1020,1652,10,徒歩
1020,1653,11,徒歩
1021,1085,2,西武池袋線
1021,1155,3,西武池袋線
1021,1493,15,徒歩
1022,1288,12,徒歩
1022,1288,2,京浜急行大師線
1024,1620,16,徒歩
1025,1171,2,JR青梅線
1025,1694,3,JR青梅線
1026,1027,1,徒歩
1026,1642,11,JR八高線
1026,1714,14,徒歩
1026,1758,11,JR八高線
1027,1714,1,西武池袋線
1027,1714,14,徒歩
1027,1757,9,西武池袋線
1029,1059,4,JR宇都宮線
103,1404,11,JR内房線
103,278,10,JR内房線
1031,1289,6,JR八高線
1032,1603,18,徒歩
1033,1476,6,東武伊勢崎線
1034,1100,9,JR総武本線
1035,1086,13,JR成田線
1035,1275,12,JR総武本線
1035,1654,7,JR総武本線
1036,1037,1,徒歩
1037,1046,21,JR常磐線快速
1037,1646,7,JR常磐線各駅停車
1039,1333,4,JR御殿場線
104,1725,21,小湊鉄道
1040,1467,10,徒歩
1040,1467,2,東急世田谷線
1042,1165,4,JR埼京線
1042,1545,18,徒歩
1045,1046,2,徒歩
1045,1597,6,東武野田線
1047,1048,4,つくばエクスプレス線
1048,1185,8,つくばエクスプレス線
1049,1345,12,徒歩
1049,1345,3,江ノ島電鉄線
1049,1771,14,徒歩
1049,1771,4,江ノ島電鉄線
105,1519,7,JR外房線
105,1770,6,JR外房線
1054,1299,7,多摩モノレール
1054,1396,20,徒歩
1054,1397,20,徒歩
1054,1400,16,徒歩
1054,1400,4,多摩モノレール
1055,1776,4,小田急小田原線
1056,1496,10,徒歩
1056,1496,2,千葉都市モノレール1号線
1057,1081,10,徒歩
1057,1081,5,都電荒川線
1057,1252,15,徒歩
1057,1280,8,徒歩
1057,1281,12,徒歩
1057,1283,5,都電荒川線
1057,1283,9,徒歩
1057,1483,20,徒歩
1057,1527,11,徒歩
1057,1703,10,徒歩
1058,1793,3,小田急多摩線
1059,1060,5,徒歩
1061,1677,5,小田急小田原線
1062,1352,4,JR根岸線
1063,1338,10,JR東海道本線
1065,1744,6,小田急江ノ島線
1067,1155,2,西武池袋線
1067,1155,20,徒歩
1067,1429,15,徒歩
1067,1430,1,西武池袋線
1067,1430,15,徒歩
1068,1290,3,東急田園都市線
1068,1730,4,東急田園都市線
1069,1633,7,千葉都市モノレール2号線
107,108,4,徒歩
107,109,5,徒歩
107,110,5,徒歩
107,111,17,徒歩
107,112,15,徒歩
107,113,12,徒歩
107,114,11,徒歩
107,1244,17,徒歩
107,1389,10,徒歩
107,224,7,徒歩
107,268,11,徒歩
107,745,11,徒歩
107,824,15,徒歩
107,825,14,徒歩
1070,1071,4,徒歩
1070,1678,16,徒歩
1070,1679,13,徒歩
1070,1726,10,徒歩
1071,1094,5,JR根岸線
1071,1501,21,JR京浜東北線
1071,1678,18,徒歩
1071,1678,4,JR根岸線
1071,1679,16,徒歩
1071,1726,10,徒歩
1073,1145,18,徒歩
1073,1517,17,徒歩
1073,1686,11,徒歩
1073,1687,9,徒歩
1073,1688,8,徒歩
1074,1276,17,徒歩
1074,1277,16,徒歩
1074,1277,4,多摩モノレール
1076,1603,1,小田急小田原線
1076,1603,13,徒歩
1078,1548,18,徒歩
1078,1548,3,東武伊勢崎線
1079,1627,5,東武野田線
1079,1641,5,東武野田線
108,109,6,徒歩
108,110,6,徒歩
108,111,14,徒歩
108,112,12,徒歩
108,113,11,徒歩
108,114,10,徒歩
108,1244,15,徒歩
108,1389,13,徒歩
108,224,4,徒歩
108,268,12,徒歩
108,745,11,徒歩
108,824,17,徒歩
108,825,16,徒歩
1080,1129,16,徒歩
1080,1248,16,徒歩
1080,1248,2,東急田園都市線
1081,1280,17,徒歩
1081,1281,20,徒歩
1081,1283,17,徒歩
1081,1483,10,徒歩
1081,1483,5,都電荒川線
1081,1484,19,徒歩
1081,1527,15,徒歩
1081,1703,19,徒歩
1082,1083,1,徒歩
1082,1200,19,徒歩
1082,1225,14,徒歩
1082,1226,12,徒歩
1082,1490,15,徒歩
1083,1200,18,徒歩
1083,1225,14,徒歩
1083,1226,12,徒歩
1083,1490,15,徒歩
1085,1164,3,西武池袋線
1085,1584,17,徒歩
1088,1213,4,JR京葉線
1088,1386,3,JR京葉線
1089,1191,4,東武伊勢崎線
109,110,2,徒歩
109,111,15,徒歩
109,112,15,徒歩
109,113,15,徒歩
109,114,15,徒歩
109,1244,20,徒歩
109,1389,10,徒歩
109,1773,19,徒歩
109,224,9,徒歩
109,268,15,徒歩
109,745,15,徒歩
109,824,17,徒歩
109,825,17,徒歩
1090,1384,16,徒歩
1090,1384,4,江ノ島電鉄線
1090,1673,15,徒歩
1090,1673,4,江ノ島電鉄線
1092,1177,19,秩父本線
1092,1638,14,秩父本線
1093,1094,4,徒歩
1093,1095,4,徒歩
1093,1096,6,徒歩
1093,1097,5,徒歩
1093,1361,19,徒歩
1093,1741,17,徒歩
1094,1095,1,徒歩
1094,1096,3,徒歩
1094,1097,2,徒歩
1094,1120,11,JR横須賀線
1094,1120,12,JR湘南新宿ライン
